authors,series,series_index,timestamp,tags,formats,isbn,identifiers,languages,#kanon,comments,library_name,rating,cover,pubdate,#przeczytane,size,author_sort,title,title_sort,publisher,#chomik,#format,id,#kiedy,uuid
David Gemmell,,1.0,2010-11-20T22:33:58+01:00,Fantasy,"epub, rtf",9781857236330,isbn:9781857236330,,64,"### Review

'Has pace, conviction and gritty resolute vitality...The result is a book that will be enjoyed by Tolkien fans' TIMES EDUCATIONAL SUPPLEMENT 

### Product Description

The Knights of the Gabala, legendary protectors of the Nine Duchies, have disappeared through a demon-haunted gateway between worlds. Only one held back - Manannan, whose every instinct told him to stay. Now he is the Coward Knight, and in torment. Murder and black magic beset the Duchies. As the storm clouds of war gather, Manannan rides to the Forest of the Ocean and prepares to face his darkest fears. For he must ride through the same gate and seek out his vanished companions. And the secret he will learn there will tear his soul apart ... 
",Biblioteka calibre,3,/home/amarcinkowski/Dropbox/Biblioteka calibre/David Gemmell/Knights of Dark Renown (16)/cover.jpg,2000-11-15T00:00:00+01:00,True,751501,"Gemmell, David",Knights of Dark Renown,Knights of Dark Renown,Orbit,,,16,2009-07-28T00:00:00+02:00,a0fe8924-b588-4c5a-9bbc-8e4f7f89ab5b
Orson Scott Card,Tales of Alvin Maker,2.0,2010-11-22T00:53:10+01:00,Fantasy,"epub, txt",9780812524260,isbn:9780812524260,,53,"<h3>From Publishers Weekly</h3><p>Card's fantasy series, ""Tales of Alvin Maker,"" got off to a delightful bang with Seventh Son, which introduced an alternate early America where folk magics such as healing and dowsing really work. A nation still inchoate, its independent states are a crazy quilt, some rebellious while others remain loyal to a variety of European countries, some repressive while others grant native American Indians citizenship. This second volume finds an exiled Napoleon in Detroit, dreaming of empire and glory while Governor William Henry Harrison is plotting his own future on the graves of red Americans. Between these forces are the native followers of two brothers, the warrior Ta-Kumsaw and the pacifist prophet of the title, Tenskwa-Tawa. With its preachy tone, tepid mysticism and forced coincidences, this sequel, though interesting, doesn't live up to its predecessor. Card recently won the Hugo Award two years in a row, the first time a novel (Ender's Game) and its sequel (Speaker for the Dead) have both taken top honors. <br />Copyright 1987 Reed Business Information, Inc. </p><h3>From Library Journal</h3><p>Young Alvin Miller's magical talent for making things whole becomes the focus of a desperate race to prevent a bloodthirsty war between the Indians and the white settlers in North America. Set in an alternate world steeped in natural magic, this sequel to Seventh Son continues to demonstrate the author's love for American folklore. Recommended. JC<br />Copyright 1988 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Orson Scott Card/Red prophet (54)/cover.jpg,1988-11-15T00:00:00+01:00,True,599052,"Card, Orson Scott",Red prophet,Red prophet,TOR Books,,,54,2012-04-21T00:00:00+02:00,06c37643-39dc-4e53-96aa-f4d8ffbb8676
Tony Buzan,,1.0,2010-11-22T00:53:10+01:00,,"epub, txt",,,,999,,Biblioteka calibre,,,2010-11-22T00:00:00+01:00,True,259726,"Buzan, Tony",Sekrety superpamieci,Sekrety superpamieci,,,,55,,575e17d1-dc21-4fd6-bbaa-d23a5c16ee51
Terry Brooks,The Magic Kingdom of Landover,1.0,2010-11-22T00:53:11+01:00,"Magic, Fantasy, Wizards","epub, txt",9781857232561,isbn:9781857232561,,52,"SUMMARY: Landover was a genuine magickingdom, complete with fairy folk and wizardry, just asthe advertisement had promised. But after he purchased itfor a million dollars, Ben Holiday discovered that therewere a few details the ad had failed to mention...Such as the fact that the kingdom is falling into ruin.The barons refuse to recognize a king and taxes haven'tbeen collected for years. The dragon, Strabo, is layingwaste to the countryside, while the evil witch,Nightshade, is plotting to destroy no less thaneverything. And if that weren't enough for a prospectiveking to deal with, Ben soon learns that the Iron Mark,terrible lord of the demons, has challenged allpretenders to the throne of Landover to a duel to thedeath - a duel no mere mortal can hope to win.But Ben Holiday has one human trait that even magic can'tovercome. Ben Holiday is stubborn. SUMMARY: Landover was a genuine magickingdom, complete with fairy folk and wizardry, just asthe advertisement had promised. But after he purchased itfor a million dollars, Ben Holiday discovered that therewere a few details the ad had failed to mention...Such as the fact that the kingdom is falling into ruin.The barons refuse to recognize a king and taxes haven'tbeen collected for years. The dragon, Strabo, is layingwaste to the countryside, while the evil witch,Nightshade, is plotting to destroy no less thaneverything. And if that weren't enough for a prospectiveking to deal with, Ben soon learns that the Iron Mark,terrible lord of the demons, has challenged allpretenders to the throne of Landover to a duel to thedeath - a duel no mere mortal can hope to win.But Ben Holiday has one human trait that even magic can'tovercome. Ben Holiday is stubborn. <h3>From Publishers Weekly</h3><p>Brooks bestselling Shannara trilogy may have been at heart a formulaic fantasy but its vigorous storytelling and intriguing characters won many readers. In his first non-Shannara novel, he takes on another well-worn premise: the contemporary Earthling transported to a fantasy world. Ben Holiday is a lawyer who finds little satisfaction in his work. His yearning for a simpler life seems thwarted when he finds the magic kinddom of Landover, a close analogy of Earth, with precariously balanced powers threatening each other, massive pollution, and general discontent centering on a lack of faith in leaders. This first volume in the new series is mainly introductory as Ben meets the locals and dashes off a few impossible tasks to assert his right to the throne. While still inventive, Brooks fails badly in his lackluster, unbelievable protagonist, his preachy moral tags and the adolescent, daydream quality of Ben's triumphs. Shannarafans are in for a disappointment. 150,000 first printing; major ad/promo; author tour. <br />Copyright 1986 Reed Business Information, Inc. </p><h3>Review</h3><p>A marvellous fantasy trip' Frank Herbert 'If Harry Potter has given you a thirst for fantasy and you have not discovered the magic of Terry Brooks, you are in for a treat' ROCKY MOUNTAIN NEWS 'Confirms Terry's place at the head of the fantasy world' Philip Pullman </p>",Biblioteka calibre,,"/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Brooks/Magic kingdom for sale, sold! (56)/cover.jpg",1991-11-15T00:00:00+01:00,True,689882,"Brooks, Terry","Magic kingdom for sale, sold!","Magic kingdom for sale, sold!",Orbit,,,56,2011-02-26T00:00:00+01:00,489e6c55-aac5-4897-8bf1-f6889f7c1759
Roger Zelazny,Kroniki Amberu,2.0,2010-11-22T00:53:12+01:00,,"epub, txt",9788371506406,isbn:9788371506406,,19,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Roger Zelazny/Karabiny Avalonu (57)/cover.jpg,1999-11-15T00:00:00+01:00,True,345486,"Zelazny, Roger",Karabiny Avalonu,Karabiny Avalonu,Zysk i S-ka,,,57,2012-04-28T00:00:00+02:00,93fdeb8c-b861-4b16-ad9a-02ef9ad844fe
Alan Dean Foster,Spellsinger,4.0,2010-11-22T00:53:13+01:00,,"epub, txt",9781857232318,isbn:9781857232318,,38,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Alan Dean Foster/Moment of the Magician (59)/cover.jpg,1993-11-15T00:00:00+01:00,,522700,"Foster, Alan Dean",Moment of the Magician,Moment of the Magician,Orbit,,,59,,5cbcbe6e-ed46-4533-8887-89f4b5363b29
Piers Anthony,Xanth,1.0,2010-11-22T00:53:13+01:00,Fantasy,"epub, txt",9780345418494,isbn:9780345418494,,51,"### Amazon.com Review

Though already developing a successful career in SF with such heady novels as *Chthon* and *Omnivore*, Piers Anthony did not reach brand-name status until he cooked up some fantasy in 1977. And it was cheerful, humorous fantasy at that, as in his first *A Spell for Chameleon*. The book's young hero, Bink, is without magical powers in a world ruled entirely by magic. Worse still, if he doesn't discover his own magical talent soon, he will be forever banished from his homeland. Naturally, it takes an epic quest for Bink to learn what his unique talent truly is--and perhaps to win the girl of his dreams as well. *A Spell for Chameleon* was the very first of Anthony's bestselling (and still ongoing) humorous fantasy series. Noteworthy for their outrageous word puns and bizarre characters, the Xanth books are a light yet often satisfying brew, especially when compared with the author's sometimes nihilistic and ultraviolent hard SF. *--Stanley Wiater*

### Product Description

Until Good Magician Humphrey lends a hand, Bink is the only inhabitant of Xanth who has no magic. 
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Piers Anthony/A Spell for Chameleon (60)/cover.jpg,1997-06-23T00:00:00+02:00,True,638142,"Anthony, Piers",A Spell for Chameleon,"Spell for Chameleon, A",Ballantine Books,,,60,2006-06-28T00:00:00+02:00,275eb529-2726-414c-a743-f4afe8af0c1d
Orson Scott Card,Tales of Alvin Maker,1.0,2010-11-22T00:53:14+01:00,Fantasy,"epub, txt",9780812533057,isbn:9780812533057,,53,"<h3>From Publishers Weekly</h3><p>From the award-winning Ender's Game on, each of Card's last three novels has featured a secular saint, less a character than a catalyst to galvanize those around him into reexamining the thorny moral tangles in which they live. This first volume of the Tales of Alvin Maker introduces young Alvin Miller Jr., the seventh son of a seventh son, who lives on the frontier of an alternate early 19th century America, where folk magic such as faith healing and second sight really works. While Alvin embarks on his mythic struggle against the Unmaker of all things, he is watched over by a flesh and blood guardian angel; he is pursued by the rigid, zealous Reverend Thrower; and he is guided by the wandering Taleswapper, William Blake. This beguiling book recalls Robert Penn Warren in its robust but reflective blend of folktale, history, parable and personal testimony, pioneer narrative. The series promises to be (in Warren's phrase) a ""story of deep delight."" <br />Copyright 1987 Reed Business Information, Inc. </p><h3>From School Library Journal</h3><p>YA Set in the Northwest Territory in the late 18th Century, this is an American fantasy in the tradition of T. H. White's Sword in the Stone (Putnam, 1939). Mixing fantasy with philosophy and historical figures with imaginary ones, this first book in the <code></code>Tales of Alvin Maker'' series succeeds on several levels. Alvin Miller, seventh son of a seventh son, is heir to great powers that he must learn to use and control. A rich cast of characters try either to help or destroy Alvin in his childhood. It is apparent that Alvin is the focus of gathering forces of good and evil preparing for battle. Readers will be left at the end of the book wondering what will happen to young Alvin in his coming apprenticeship. The sequel will be eagerly awaited. Mary Williams, Harris County Public Library<br />Copyright 1987 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Orson Scott Card/Seventh Son (61)/cover.jpg,1994-05-08T00:00:00+02:00,True,456822,"Card, Orson Scott",Seventh Son,Seventh Son,Tom Doherty Associates,,,61,2005-12-28T00:00:00+01:00,ffab539b-e1c0-4c73-b410-48585ff257d4
Neil Gaiman,,1.0,2010-11-22T00:53:15+01:00,Fantasy,"epub, txt",9781439561676,isbn:9781439561676,,82,"<h3>Amazon.com Review</h3><p><em>Neverwhere</em>'s protagonist, Richard Mayhew, learns the hard way that no good deed goes unpunished. He ceases to exist in the ordinary world of London Above, and joins a quest through the dark and dangerous London Below, a shadow city of lost and forgotten people, places, and times. His companions are Door, who is trying to find out who hired the assassins who murdered her family and why; the Marquis of Carabas, a trickster who trades services for very big favors; and Hunter, a mysterious lady who guards bodies and hunts only the biggest game. London Below is a wonderfully realized shadow world, and the story plunges through it like an express passing local stations, with plenty of action and a satisfying conclusion. The story is reminiscent of Douglas Adams's __, but Neil Gaiman's humor is much darker and his images sometimes truly horrific. Puns and allusions to everything from <strong> to </strong> abound, but you can enjoy the book without getting all of them. Gaiman is definitely not just for graphic-novel fans anymore. <em>--Nona Vero</em></p><h3>From Publishers Weekly</h3><p>Starred Review. Gaiman assumes the role of narrator for his latest book, offering an intimate reading that steals one's attention almost immediately and keeps the listener involved throughout. As the story is based in the United Kingdom, Gaiman is a quintessential raconteur for the tale, with his charming Scottish brogue instilling life and spirit into the central character of Richard Mayhew. Pitch perfect, with clear pronunciation, Gaiman invites listeners into his living room for a fireside chat, offering a private and personal experience that transcends the limitations of traditional narration. The author knows his story through and through, capturing the desired emotion and audience reaction in each and every scene. His characters are unique, with diverse personalities and narrative approaches, and Gaiman offers a variety of dialects and tones. The reading sounds more like a private conversation among friends with Gaiman providing the convincing and likable performance the writing deserves. <em>A Harper Perennial paperback (Reviews, May 19, 1997). (Nov.)</em> <br />Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Neil Gaiman/Neverwhere (62)/cover.jpg,2008-11-15T00:00:00+01:00,True,905512,"Gaiman, Neil",Neverwhere,Neverwhere,Paw Prints,,FINE,62,2006-03-28T00:00:00+02:00,093a4e1d-fdbe-4f20-85a2-3f8b68e64da1
Neil Gaiman,,1.0,2010-11-22T00:53:16+01:00,"Fantastyka, humor, Londyn, New Weird, postmodernizm, urban fantasy","epub, txt",9788387968281,"isbn:9788387968281,biblionetka:1181",pol,82,"„Nigdziebądź” to postmodernistyczna powieść o lojalności, miłości i odwadze, i sensie istnienia.   
  
Richard Mayhew, główny bohater, prowadzi życie podobne do każdego z nas – pracuje w firmie, ma przyjaciół, a także piękną narzeczoną Jessikę, z którą planuje wspólną przyszłość. Jednak pewnego dnia jego dotychczasowe życie ulega diametralnej przemianie. Na ulicy spotyka ranną dziewczynę, której udziela pomocy – od tego momentu staje się mieszkańcem Londynu Pod, leżącego w kanałach i podziemnych przejściach Londynu Nad. Poprzez tę „małą” zmianę staje się niewidoczny dla normalnych ludzi. Nie mając zbyt wielkiego wyboru, Richard postanawia towarzyszyć Drzwi (bo tak ma na imię owa dziewczyna), która jest ścigana przez okrutnych morderców: Pana Croupa i Pana Vandemara. W międzyczasie dołącza do nich tajemnicza Łowczyni i jeszcze bardziej tajemniczy Markiz de Carabas. Razem postanawiają odnaleźć legendarnego anioła Islingtona, który jako jedyny może im pomóc: Richardowi wrócić do jego świata – Londynu Nad, a Drzwi odkryć sekret związany z tragiczną śmiercią całej jej rodziny. Książka ta niesie także dość smutne przesłanie na temat tego, jak życie potrafi być szare i monotonne w realnej rzeczywistości. Przeniesienie Richarda do nierzeczywistego świata jest dla niego ratunkiem przed nudą znajdującą się tuż za oknem.   
  
[MAG, 2006]
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Neil Gaiman/Nigdziebadz (63)/cover.jpg,1996-01-01T01:00:00+01:00,True,931398,"Gaiman, Neil",Nigdziebądź,Nigdziebądź,Mag,,ALMOST,63,,df76a1ce-ea26-4617-a431-faf7817eb304
